,Unnamed: 0,LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
44,44,5116757110,04/13/2020,1084,PPP,ALYESKA RESORT OPERATIONS LIMITED PARTNERSHIP,1000 Arlberg Ave,GIRDWOOD,AK,99587,09/24/2021,Paid in Full,24,100,3400700.0,3400700.0,0.0,,21442,BMO Bank National Association,320 S Canal St,Chicago,IL,60606,U,N,N,New Business or 2 years or less,GIRDWOOD,ANCHORAGE,AK,99587-0001,AK-,393.0,721110.0,Unanswered,Unknown/NotStated,,3400700.0,,,,,,Partnership,21442,BMO Bank National Association,Chicago,IL,Unanswered,Unanswered,,3444210.33,08/10/2021
45,45,8106777007,04/08/2020,1084,PPP,"ALASKA HEART INSTITUTE, LLC",3841 Piper Street Suite T-100,ANCHORAGE,AK,99508-4674,09/28/2021,Paid in Full,24,100,3388097.0,3388097.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99508-4674,AK-,240.0,621111.0,Unanswered,Unknown/NotStated,,3388097.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,3433116.92,08/20/2021
46,46,4919167000,04/04/2020,1084,PPP,"ORTHOALASKA, LLC",3801 Lake Otis Parkway,ANCHORAGE,AK,99508-5233,07/21/2021,Paid in Full,24,100,3377500.0,3377500.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99508-5233,AK-,240.0,621111.0,Unanswered,Unknown/NotStated,,3377500.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,3416179.32,06/09/2021
47,47,3146037304,04/29/2020,1084,PPP,AHTNA ENVIRONMENTAL INC,110 W 38th Ave Ste 200B,ANCHORAGE,AK,99503-5677,11/18/2021,Paid in Full,24,100,3344500.0,3344500.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99503-5677,AK-,180.0,562910.0,Unanswered,Unknown/NotStated,,3344500.0,,,,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,2116516.61,09/20/2021
48,48,4966677003,04/04/2020,1084,PPP,ALCAN ELEC. & ENGINEERING INC.,6670 Arctic Spur Rd.,ANCHORAGE,AK,99518-1548,07/21/2021,Paid in Full,24,100,3145700.0,3145700.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99518-1548,AK-,92.0,238210.0,Unanswered,Unknown/NotStated,,3145700.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Female Owned,Unanswered,,3182069.46,06/11/2021
49,49,5669107103,04/13/2020,1084,PPP,"KAWERAK, INC.",PO Box 948,NOME,AK,99762,10/21/2020,Paid in Full,24,100,3142152.86,3142152.86,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,R,N,N,Unanswered,NOME,NOME,AK,99762-0001,AK-,215.0,624110.0,Unanswered,Unknown/NotStated,,3142152.86,,,,,,Non-Profit Organization,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,Y,,
50,50,1956967206,04/15/2020,1084,PPP,TRAILBOSS TX LLC,201 E 3rd Avenue,ANCHORAGE,AK,99501,06/24/2021,Paid in Full,24,100,3120100.0,3120100.0,0.0,,90739,Global Federal Credit Union,4000 Credit Union Dr,ANCHORAGE,AK,99503-6636,U,Y,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-0999,AK-,199.0,561210.0,Black or African American,Unknown/NotStated,,3120100.0,,,,,,Limited  Liability Company(LLC),90739,Global Federal Credit Union,ANCHORAGE,AK,Male Owned,Unanswered,,3155147.7,06/11/2021
51,51,3573847109,04/11/2020,1084,PPP,"GREAT NORTHWEST, INC.",2975 Van Horn Road,FAIRBANKS,AK,99709-5418,12/18/2021,Paid in Full,24,100,3079300.0,3079300.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,R,Y,N,Unanswered,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99709-5418,AK-,59.0,237310.0,Unanswered,Unknown/NotStated,,3079300.0,,,,,,Subchapter S Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,3128062.61,11/22/2021
52,52,4189357104,04/13/2020,1084,PPP,"NEESER CONSTRUCTION, INC.",2501 BLUEBERRY ROAD,ANCHORAGE,AK,99503-2621,09/08/2021,Paid in Full,24,100,3071121.0,3071121.0,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-2621,AK-,74.0,237990.0,Unanswered,Unknown/NotStated,26021.02,2947650.5,,97449.48,,,,Corporation,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,3112602.17,08/23/2021
53,53,5357627107,04/13/2020,1084,PPP,"BEACON OCCUPATIONAL HEALTH AND SAFETY SERVICES, INC.",800 Cordova Street,ANCHORAGE,AK,99501-3717,07/21/2021,Paid in Full,24,100,2987200.0,2987200.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,N,Unanswered,ANCHORAGE,ANCHORAGE,AK,99501-3717,AK-,230.0,621111.0,White,Not Hispanic or Latino,,2987200.0,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Female Owned,Non-Veteran,,3021082.21,06/09/2021
